,Date,Open,High,Low,Close,Adj Close,Volume,Tweets,Marketcap,Proportion Traded
42,2018-10-02,6593.240234,6611.839844,6537.899902,6556.100098,6556.100098,3979260000.0,31648.0,113814890000.0,0.0349625611750966
43,2018-10-03,6553.859863,6571.459961,6454.029785,6502.589844,6502.589844,3887310000.0,31711.0,112185475000.0,0.0346507424201319
44,2018-10-04,6497.910156,6603.310059,6497.910156,6576.689941,6576.689941,3838410000.0,34224.0,113901986000.0,0.0336992368773046
45,2018-10-05,6574.149902,6623.620117,6557.410156,6622.47998,6622.47998,3671500000.0,34221.0,113938070000.0,0.0322236452661424
46,2018-10-06,6622.450195,6628.540039,6577.799805,6588.310059,6588.310059,3259740000.0,29246.0,114189320000.0,0.0285468027528232
47,2018-10-07,6590.680176,6641.490234,6557.040039,6602.950195,6602.950195,3306630000.0,28503.0,113887360000.0,0.0290342133736957
48,2018-10-08,6600.189941,6675.060059,6576.040039,6652.22998,6652.22998,3979460000.0,37692.0,114769400000.0,0.0346735267818299
49,2018-10-09,6653.080078,6661.410156,6606.939941,6642.640137,6642.640137,3580810000.0,35538.0,114928730000.0,0.0311567873108007
50,2018-10-10,6640.290039,6640.290039,6538.959961,6585.529785,6585.529785,3787650000.0,33842.0,113932990000.0,0.0332445406417378
51,2018-10-11,6586.740234,6586.740234,6243.740234,6256.240234,6256.240234,5181640000.0,32278.0,108816570000.0,0.0476181144558649
52,2018-10-12,6239.25,6328.5,6236.470215,6274.580078,6274.580078,3783500000.0,28937.0,108719825000.0,0.0348004607588289
53,2018-10-13,6278.080078,6308.509766,6259.810059,6285.990234,6285.990234,3064030000.0,27760.0,108906580000.0,0.0281344805660017
54,2018-10-14,6288.490234,6363.209961,6280.149902,6290.930176,6290.930176,3085320000.0,28150.0,109727460000.0,0.0281180305867012
55,2018-10-15,6292.640137,6965.060059,6258.680176,6596.540039,6596.540039,7370770000.0,35275.0,114567890000.0,0.0643353916269757
56,2018-10-16,6601.410156,6673.589844,6571.370117,6596.109863,6596.109863,4074800000.0,35006.0,115059050000.0,0.0354148591958986
57,2018-10-17,6590.52002,6601.209961,6517.450195,6544.430176,6544.430176,4088420000.0,33145.0,114509420000.0,0.035703786705546
58,2018-10-18,6542.330078,6567.540039,6450.040039,6476.709961,6476.709961,3924080000.0,30155.0,114269160000.0,0.0343406744197667
59,2018-10-19,6478.069824,6493.680176,6445.310059,6465.410156,6465.410156,3578870000.0,28097.0,112877036000.0,0.0317059177140232
60,2018-10-20,6460.919922,6497.720215,6449.0,6489.189941,6489.189941,3379130000.0,23204.0,113109960000.0,0.0298747346400939
61,2018-10-21,6490.089844,6556.379883,6476.0,6482.350098,6482.350098,3253610000.0,22298.0,113954180000.0,0.0285519152081169
62,2018-10-22,6486.049805,6543.799805,6462.97998,6487.160156,6487.160156,3672860000.0,30300.0,113315870000.0,0.0324125818412017
63,2018-10-23,6472.359863,6506.009766,6451.27002,6475.740234,6475.740234,3716150000.0,30702.0,112879690000.0,0.0329213342892295
64,2018-10-24,6478.890137,6521.990234,6468.859863,6495.839844,6495.839844,3424670000.0,29969.0,113222115000.0,0.0302473592732203
65,2018-10-25,6484.649902,6504.649902,6447.029785,6476.290039,6476.290039,3230550000.0,25693.0,112742556000.0,0.028654220062975
66,2018-10-26,6468.439941,6498.290039,6449.609863,6474.75,6474.75,3306050000.0,25493.0,112595520000.0,0.029362181329836
67,2018-10-27,6480.839844,6507.410156,6453.529785,6480.379883,6480.379883,3393250000.0,20631.0,112581620000.0,0.0301403540402557
68,2018-10-28,6482.660156,6502.279785,6447.910156,6486.390137,6486.390137,3445190000.0,20711.0,112455440000.0,0.03063604504587
69,2018-10-29,6492.350098,6503.600098,6306.990234,6332.629883,6332.629883,4199910000.0,26541.0,111126766000.0,0.0377938652180965
70,2018-10-30,6337.040039,6364.990234,6310.140137,6334.27002,6334.27002,3781100000.0,25290.0,109832960000.0,0.0344259130364485
71,2018-10-31,6336.990234,6349.160156,6316.879883,6317.609863,6317.609863,4191240000.0,33944.0,109828820000.0,0.038161569235229
72,2018-11-01,6318.140137,6547.140137,6311.830078,6377.779785,6377.779785,3789400000.0,31618.0,110385635000.0,0.0343287420391264
73,2018-11-02,6378.919922,6396.859863,6327.379883,6388.439941,6388.439941,4234870000.0,22288.0,111241040000.0,0.0380693119098937
74,2018-11-03,6387.240234,6400.069824,6342.370117,6361.259766,6361.259766,3658640000.0,18645.0,110815680000.0,0.03301554360791
75,2018-11-04,6365.470215,6388.629883,6294.569824,6376.129883,6376.129883,4390020000.0,24207.0,111333260000.0,0.0394313428733343
76,2018-11-05,6363.620117,6480.589844,6363.620117,6419.660156,6419.660156,4174800000.0,23158.0,111982570000.0,0.0372808026823759
77,2018-11-06,6433.379883,6463.549805,6408.160156,6461.009766,6461.009766,4700040000.0,25550.0,112056480000.0,0.0419434899163082
78,2018-11-07,6468.5,6552.160156,6468.310059,6530.140137,6530.140137,4941260000.0,24951.0,113680410000.0,0.0434662406820658
79,2018-11-08,6522.27002,6536.919922,6438.529785,6453.720215,6453.720215,4665260000.0,24614.0,112926060000.0,0.0413125203052517
80,2018-11-09,6442.600098,6456.459961,6373.370117,6385.620117,6385.620117,4346820000.0,25018.0,111650040000.0,0.0389325439310984
81,2018-11-10,6386.129883,6437.279785,6385.310059,6409.220215,6409.220215,3705320000.0,20709.0,111574010000.0,0.033209526777744
82,2018-11-11,6413.629883,6423.25,6350.169922,6411.27002,6411.27002,3939060000.0,18630.0,111364284000.0,0.0353709451881869
83,2018-11-12,6411.759766,6434.209961,6360.470215,6371.27002,6371.27002,4295770000.0,23212.0,111627830000.0,0.0384829663797924
84,2018-11-13,6373.189941,6395.27002,6342.669922,6359.490234,6359.490234,4503800000.0,25340.0,111278850000.0,0.0404730997674516
85,2018-11-14,6351.240234,6371.549805,5544.089844,5738.350098,5738.350098,7398940000.0,34169.0,106985775000.0,0.0691581660534547
86,2018-11-15,5736.149902,5774.819824,5358.379883,5648.029785,5648.029785,7032140000.0,30694.0,97395560000.0,0.072201856669774
87,2018-11-16,5645.319824,5657.02002,5498.939941,5575.549805,5575.549805,5279320000.0,28077.0,97518486000.0,0.0541366077694413
88,2018-11-17,5578.580078,5578.580078,5519.560059,5554.330078,5554.330078,4303150000.0,23964.0,96822470000.0,0.044443712930125
