Date,Open,High,Low,Close,Adj Close,Volume,Tweets,Marketcap,Proportion Traded
2019-10-16,8204.674805,8216.8125,7985.089844,8047.526855,8047.526855,16071646996.0,17713,145434570000.0,0.11050774558111218
2019-10-17,8047.8125,8134.831543,8000.942871,8103.911133,8103.911133,14313052244.0,16806,145005400000.0,0.0987070318897555
2019-10-18,8100.933594,8138.413574,7902.164063,7973.20752,7973.20752,15651592610.0,17011,143631060000.0,0.10897080999224955
2019-10-19,7973.803711,8082.629395,7944.776855,7988.560547,7988.560547,13797825640.0,15757,143632450000.0,0.09606342915248908
2019-10-20,7997.807129,8281.818359,7949.439453,8222.078125,8222.078125,15504249442.0,13294,144568350000.0,0.10724511378282678
2019-10-21,8225.115234,8296.694336,8196.416016,8243.720703,8243.720703,15868748866.0,16282,148274950000.0,0.1070224499298419
2019-10-22,8243.402344,8296.651367,8074.462891,8078.203125,8078.203125,16803377857.0,19420,147816630000.0,0.11367718272897086
2019-10-23,8076.228516,8092.999512,7469.322754,7514.671875,7514.671875,21942878958.0,20329,139537100000.0,0.15725479595090136
2019-10-24,7509.728027,7532.867676,7446.98877,7493.48877,7493.48877,16268708849.0,17486,134295585000.0,0.12114105521119495
2019-10-25,7490.703125,8691.540039,7479.984375,8660.700195,8660.700195,28705065488.0,20601,141821670000.0,0.20240252977741988
2019-10-26,8667.577148,10021.74414,8662.62207,9244.972656,9244.972656,44496255609.0,25470,167914360000.0,0.26499375320812113
2019-10-27,9241.707031,9749.529297,9112.541992,9551.714844,9551.714844,32593129501.0,17460,169475470000.0,0.19231767786560117
2019-10-28,9565.101563,9805.118164,9256.148438,9256.148438,9256.148438,30948255332.0,18462,170560680000.0,0.18145011265429492
2019-10-29,9248.44043,9516.180664,9232.648438,9427.6875,9427.6875,28426779937.0,17199,169160740000.0,0.16804596905951447
2019-10-30,9422.462891,9426.874023,9085.370117,9205.726563,9205.726563,27706531577.0,17972,166129140000.0,0.1667770724933133
2019-10-31,9202.458008,9383.161133,9028.717773,9199.584961,9199.584961,26583653947.0,20869,165736640000.0,0.16039695994736475
2019-11-01,9193.992188,9275.657227,9132.047852,9261.104492,9261.104492,24324691031.0,17370,165394280000.0,0.14707092870871774
2019-11-02,9259.783203,9377.486328,9249.587891,9324.717773,9324.717773,21242676385.0,14470,167498760000.0,0.12682288728973282
2019-11-03,9324.787109,9379.806641,9141.251953,9235.354492,9235.354492,21132220847.0,14022,166659950000.0,0.12679843616668865
2019-11-04,9235.607422,9505.051758,9191.485352,9412.612305,9412.612305,26170255634.0,17953,167399340000.0,0.15633428010423875
2019-11-05,9413.004883,9457.417969,9256.931641,9342.527344,9342.527344,26198609048.0,18119,168724400000.0,0.1552745740753986
2019-11-06,9340.864258,9423.237305,9305.90918,9360.879883,9360.879883,23133895765.0,17193,168829120000.0,0.13702550326381185
2019-11-07,9352.393555,9368.476563,9202.353516,9267.561523,9267.561523,22700383839.0,16147,167245460000.0,0.13573093916500756
2019-11-08,9265.368164,9272.759766,8775.53418,8804.880859,8804.880859,24333037836.0,16463,162604840000.0,0.14964522203562436
2019-11-09,8809.46875,8891.818359,8793.163086,8813.582031,8813.582031,17578630606.0,13608,159335270000.0,0.11032479367446554
2019-11-10,8812.489258,9103.826172,8806.162109,9055.526367,9055.526367,20587919881.0,13655,160960770000.0,0.12790644174326268
2019-11-11,9056.917969,9081.279297,8700.608398,8757.788086,8757.788086,20265510765.0,17451,159305020000.0,0.12721200073471972
2019-11-12,8759.751953,8853.768555,8685.427734,8815.662109,8815.662109,20309769107.0,16739,158343450000.0,0.12826403335491757
2019-11-13,8812.033203,8836.841797,8761.651367,8808.262695,8808.262695,17545755405.0,17058,158743150000.0,0.11052921237588334
2019-11-14,8811.936523,8826.943359,8692.551758,8708.094727,8708.094727,19084739975.0,18144,157519760000.0,0.12115775379972672
2019-11-15,8705.708008,8730.873047,8484.84375,8491.992188,8491.992188,21796856471.0,17028,155235530000.0,0.14041151582919037
2019-11-16,8491.166016,8591.99707,8473.973633,8550.760742,8550.760742,16495389808.0,15041,153864450000.0,0.1072072812383434
2019-11-17,8549.470703,8727.789063,8500.967773,8577.975586,8577.975586,18668638897.0,14539,154964400000.0,0.1204705056241986
2019-11-18,8573.980469,8653.280273,8273.573242,8309.286133,8309.286133,21579470673.0,16505,152750400000.0,0.14127275338084389
2019-11-19,8305.134766,8408.516602,8099.963379,8206.145508,8206.145508,21083613816.0,16874,148142110000.0,0.14232019121408296
2019-11-20,8203.613281,8237.240234,8010.511719,8027.268066,8027.268066,20764300437.0,18338,147654250000.0,0.140627858278785
2019-11-21,8023.644531,8110.098145,7597.381836,7642.75,7642.75,22514243371.0,21597,143108490000.0,0.15732290582020086
2019-11-22,7643.569336,7697.382813,6936.706543,7296.577637,7296.577637,34242315785.0,24404,133067970000.0,0.2573295069721485
2019-11-23,7296.164551,7442.258789,7151.417969,7397.796875,7397.796875,21008924418.0,16543,131058780000.0,0.16030154348033238
2019-11-24,7398.633789,7408.577148,7029.289063,7047.916992,7047.916992,30433517289.0,17253,130235920000.0,0.23367991070681443
2019-11-25,7039.977051,7319.856934,6617.166992,7146.133789,7146.133789,42685231262.0,22633,126069375000.0,0.33858525331886546
2019-11-26,7145.15918,7320.230469,7098.572266,7218.371094,7218.371094,21129505542.0,25824,129470430000.0,0.1631994683337211
2019-11-27,7220.880859,7619.693359,6974.174316,7531.663574,7531.663574,23991412764.0,22517,131357385000.0,0.1826422840106182
2019-11-28,7536.820313,7730.072754,7454.121582,7463.105957,7463.105957,19050116751.0,16332,136540480000.0,0.13951991982475964
2019-11-29,7466.727051,7781.179688,7460.756348,7761.243652,7761.243652,19709695456.0,16670,137273220000.0,0.14358004638625327
2019-11-30,7764.057129,7836.102051,7515.849609,7569.629883,7569.629883,17158194786.0,16174,138704130000.0,0.12370356446309154
2019-12-01,7571.616211,7571.616211,7291.341797,7424.29248,7424.29248,18720708479.0,15964,133061130000.0,0.1406925385129036
2019-12-02,7424.036133,7474.818848,7233.399414,7321.988281,7321.988281,17082040706.0,16129,132253590000.0,0.12916126337337222
2019-12-03,7323.975586,7418.858887,7229.356934,7320.145508,7320.145508,14797485769.0,16469,132337710000.0,0.11181609094305532
2019-12-04,7320.125,7539.784668,7170.922852,7252.034668,7252.034668,21664240918.0,16817,132270604000.0,0.1637872680374943
2019-12-05,7253.241699,7743.431641,7232.676758,7448.307617,7448.307617,18816085231.0,17127,132949410000.0,0.14152815917301068
2019-12-06,7450.561523,7546.996582,7392.175293,7546.996582,7546.996582,18104466307.0,15697,134500470000.0,0.1346052303966858
2019-12-07,7547.265625,7589.95166,7525.711426,7556.237793,7556.237793,15453520564.0,13437,136682865000.0,0.11306114050727581
2019-12-08,7551.338867,7634.606445,7476.091309,7564.345215,7564.345215,15409908086.0,14176,136561550000.0,0.11284221776653418
2019-12-09,7561.79541,7618.091797,7365.985352,7400.899414,7400.899414,17872021272.0,16592,135543990000.0,0.1318540313456374
2019-12-10,7397.134277,7424.022949,7246.043945,7278.119629,7278.119629,18249031195.0,15197,132815030000.0,0.1374018545869823
2019-12-11,7277.197754,7324.15625,7195.527344,7217.427246,7217.427246,16350490689.0,14324,131494410000.0,0.12434361585790459
2019-12-12,7216.73877,7266.639648,7164.741211,7243.134277,7243.134277,18927080224.0,16412,130619920000.0,0.14490194728243616
2019-12-13,7244.662109,7293.560547,7227.122559,7269.68457,7269.68457,17125736940.0,16588,131363430000.0,0.1303691361275535
2019-12-14,7268.902832,7308.836426,7097.208984,7124.673828,7124.673828,17137029730.0,14114,130413265000.0,0.1314055724597201
2019-12-15,7124.239746,7181.075684,6924.375977,7152.301758,7152.301758,16881129804.0,14381,129038000000.0,0.1308229342306504
2019-12-16,7153.663086,7171.168945,6903.682617,6932.480469,6932.480469,20213265950.0,18724,128269160000.0,0.15758477349402814
2019-12-17,6931.31543,6964.075195,6587.974121,6640.515137,6640.515137,22363804217.0,19303,124102540000.0,0.1802042406269206
2019-12-18,6647.698242,7324.984863,6540.049316,7276.802734,7276.802734,31836522778.0,22374,123124080000.0,0.25857267410658813
2019-12-19,7277.59082,7346.602539,7041.381836,7202.844238,7202.844238,25904604416.0,21588,129994560000.0,0.19927452119381084
2019-12-20,7208.636719,7257.921875,7086.124023,7218.816406,7218.816406,22633815180.0,18959,130619370000.0,0.17328069815656805
2019-12-21,7220.59375,7223.226074,7112.73584,7191.158691,7191.158691,19312552168.0,16562,130578890000.0,0.1478994962874901
2019-12-22,7191.188477,7518.033203,7167.179199,7511.588867,7511.588867,23134537956.0,15978,131813760000.0,0.17550927745539235
2019-12-23,7508.902344,7656.17627,7326.192383,7355.628418,7355.628418,27831788041.0,16906,136423910000.0,0.2040096093574336
2019-12-24,7354.393066,7535.716797,7269.528809,7322.532227,7322.532227,22991622105.0,15959,133409710000.0,0.17233844591381636
2019-12-25,7325.755859,7357.02002,7220.991211,7275.155762,7275.155762,21559505149.0,14984,131978174000.0,0.16335659465331395
2019-12-26,7274.799316,7388.302734,7200.386719,7238.966797,7238.966797,22787010034.0,15205,131900380000.0,0.17275924053927771
2019-12-27,7238.141113,7363.529297,7189.934082,7290.088379,7290.088379,22777360996.0,14711,131651035000.0,0.1730131553653962
2019-12-28,7289.03125,7399.041016,7286.905273,7317.990234,7317.990234,21365673026.0,14765,133446490000.0,0.1601066665760156
2019-12-29,7317.647461,7513.948242,7279.865234,7422.652832,7422.652832,22445257702.0,13684,135412250000.0,0.16575499823023873
2019-12-30,7420.272949,7454.824219,7276.308105,7292.995117,7292.995117,22874131672.0,15568,133961880000.0,0.17075104536529487
2019-12-31,7294.438965,7335.290039,7169.777832,7193.599121,7193.599121,21167946112.0,13500,132240695000.0,0.16007134615118956
2020-01-01,7194.89209,7254.330566,7174.944336,7200.174316,7200.174316,18565664997.0,13987,131257926000.0,0.14144414447818904
2020-01-02,7202.55127,7212.155273,6935.27002,6985.470215,6985.470215,20802083465.0,15920,129269680000.0,0.1609200531320763
2020-01-03,6984.428711,7413.715332,6914.996094,7344.884277,7344.884277,28111481032.0,19730,131515660000.0,0.21375006240838432
2020-01-04,7345.375488,7427.385742,7309.51416,7410.656738,7410.656738,18444271275.0,16357,134067210000.0,0.13757481433182106
2020-01-05,7410.45166,7544.49707,7400.535645,7411.317383,7411.317383,19725074095.0,16533,136141190000.0,0.1448868900664359
2020-01-06,7410.452148,7781.867188,7409.292969,7769.219238,7769.219238,23276261598.0,16540,137682320000.0,0.1690577363888603
2020-01-07,7768.682129,8178.21582,7768.227539,8163.692383,8163.692383,28767291327.0,20950,144326460000.0,0.1993209800073192
2020-01-08,8161.935547,8396.738281,7956.774414,8079.862793,8079.862793,31672559265.0,20820,150154700000.0,0.21093284326286382
2020-01-09,8082.295898,8082.295898,7842.403809,7879.071289,7879.071289,24045990466.0,20500,144170860000.0,0.16678814550504345
2020-01-10,7878.307617,8166.554199,7726.774902,8166.554199,8166.554199,28714583844.0,18266,144014590000.0,0.19938663057382283
2020-01-11,8162.190918,8218.359375,8029.64209,8037.537598,8037.537598,25521165085.0,15900,147425940000.0,0.17311177319431456
2020-01-12,8033.261719,8200.063477,8009.059082,8192.494141,8192.494141,22903438381.0,14383,147902200000.0,0.15485529014165159
2020-01-13,8189.771973,8197.788086,8079.700684,8144.194336,8144.194336,22482910688.0,15305,148009910000.0,0.1519013871887553
2020-01-14,8140.933105,8879.511719,8140.933105,8827.764648,8827.764648,44841784107.0,20772,156271690000.0,0.2869475858682385
2020-01-15,8825.34375,8890.117188,8657.1875,8807.010742,8807.010742,40102834650.0,18142,159439630000.0,0.25152362392742195
2020-01-16,8812.481445,8846.460938,8612.095703,8723.786133,8723.786133,31313981931.0,18513,157911800000.0,0.19830046385027425
2020-01-17,8725.209961,8958.12207,8677.316406,8929.038086,8929.038086,36372139320.0,17272,161113850000.0,0.22575426850335098
2020-01-18,8927.211914,9012.198242,8827.332031,8942.808594,8942.808594,32337772627.0,17651,161824920000.0,0.19983185244297316
2020-01-19,8941.445313,9164.362305,8620.080078,8706.245117,8706.245117,34217320471.0,20557,160973290000.0,0.21256520350612756
2020-01-20,8704.631836,8745.59082,8560.473633,8657.642578,8657.642578,26422375678.0,18586,157559880000.0,0.16769735663811733
2020-01-21,8658.991211,8755.706055,8544.520508,8745.894531,8745.894531,24097418512.0,19285,157601600000.0,0.15290085390355895
2020-01-22,8744.210938,8792.994141,8636.74707,8680.875977,8680.875977,22600204051.0,19401,158012060000.0,0.1430283455294607
2020-01-23,8680.650391,8687.74707,8333.637695,8406.515625,8406.515625,25770680779.0,18546,153939980000.0,0.16740732358862392
2020-01-24,8405.567383,8514.666992,8266.84082,8445.43457,8445.43457,24397913026.0,16643,152896240000.0,0.15957169882315414
2020-01-25,8440.119141,8458.453125,8296.21875,8367.847656,8367.847656,19647331549.0,13919,151807500000.0,0.12942267392557558
2020-01-26,8364.410156,8602.401367,8325.498047,8596.830078,8596.830078,22177678796.0,14485,153939000000.0,0.1440679658980028
2020-01-27,8597.308594,8977.726563,8597.308594,8909.819336,8909.819336,28647338393.0,18223,159015270000.0,0.18015463516165117
2020-01-28,8912.524414,9358.589844,8908.447266,9358.589844,9358.589844,34398744403.0,20422,164576660000.0,0.20901350741206567
2020-01-29,9357.470703,9406.431641,9269.467773,9316.629883,9316.629883,30682598115.0,22062,170045030000.0,0.18043807597802047
